日期,最高气温,最低气温,天气
2021-01-01,22℃,14℃,晴
2021-01-02,25℃,18℃,晴
2021-01-03,23℃,19℃,多云
2021-01-04,25℃,20℃,多云
2021-01-05,25℃,19℃,多云
2021-01-06,25℃,19℃,多云
2021-01-07,24℃,17℃,阴
2021-01-08,22℃,13℃,多云
2021-01-09,19℃,15℃,多云
2021-01-10,25℃,16℃,多云
2021-01-11,20℃,13℃,阴
2021-01-12,20℃,11℃,多云
2021-01-13,22℃,14℃,晴
2021-01-14,25℃,14℃,晴
2021-01-15,25℃,16℃,晴
2021-01-16,28℃,19℃,阴
2021-01-17,27℃,14℃,晴
2021-01-18,23℃,14℃,晴
2021-01-19,24℃,17℃,晴
2021-01-20,26℃,20℃,多云
2021-01-21,27℃,19℃,晴
2021-01-22,27℃,19℃,晴
2021-01-23,26℃,18℃,多云
2021-01-24,27℃,19℃,晴
2021-01-25,27℃,19℃,晴
2021-01-26,29℃,18℃,晴
2021-01-27,27℃,19℃,晴
2021-01-28,27℃,18℃,晴
2021-01-29,25℃,19℃,多云
2021-01-30,26℃,19℃,晴
2021-01-31,26℃,20℃,晴
2021-02-01,28℃,18℃,晴
2021-02-02,28℃,19℃,晴
2021-02-03,27℃,20℃,晴
2021-02-04,27℃,19℃,晴
2021-02-05,28℃,18℃,晴
2021-02-06,28℃,20℃,多云
2021-02-07,29℃,20℃,晴
2021-02-08,27℃,20℃,多云
2021-02-09,26℃,19℃,阴
2021-02-10,25℃,16℃,晴
2021-02-11,25℃,15℃,多云
2021-02-12,25℃,16℃,多云
2021-02-13,26℃,16℃,多云
2021-02-14,25℃,16℃,多云
2021-02-15,27℃,17℃,晴
2021-02-16,27℃,17℃,多云
2021-02-17,27℃,18℃,晴
2021-02-18,27℃,17℃,晴
2021-02-19,26℃,18℃,多云
2021-02-20,27℃,17℃,晴
2021-02-21,26℃,18℃,晴
2021-02-22,27℃,17℃,晴
2021-02-23,26℃,20℃,晴
2021-02-24,29℃,21℃,多云
2021-02-25,29℃,21℃,多云
2021-02-26,29℃,21℃,晴
2021-02-27,30℃,22℃,多云
2021-02-28,28℃,22℃,多云
2021-03-01,29℃,23℃,晴
2021-03-02,28℃,22℃,晴
2021-03-03,27℃,22℃,多云
2021-03-04,29℃,23℃,晴
2021-03-05,30℃,23℃,晴
2021-03-06,28℃,23℃,多云
2021-03-07,31℃,23℃,晴
2021-03-08,30℃,23℃,多云
2021-03-09,29℃,23℃,多云
2021-03-10,29℃,23℃,多云
2021-03-11,29℃,23℃,晴
2021-03-12,30℃,23℃,晴
2021-03-13,29℃,22℃,晴
2021-03-14,29℃,22℃,晴
2021-03-15,29℃,23℃,晴
2021-03-16,29℃,22℃,多云
2021-03-17,30℃,23℃,多云
2021-03-18,32℃,24℃,多云
2021-03-19,32℃,23℃,晴
2021-03-20,31℃,24℃,多云
2021-03-21,30℃,22℃,多云
2021-03-22,28℃,21℃,多云
2021-03-23,27℃,21℃,晴
2021-03-24,30℃,22℃,晴
2021-03-25,30℃,23℃,晴
2021-03-26,29℃,23℃,晴
2021-03-27,31℃,23℃,晴
2021-03-28,30℃,24℃,晴
2021-03-29,30℃,24℃,晴
2021-03-30,31℃,24℃,晴
2021-03-31,31℃,23℃,晴
2021-04-01,31℃,24℃,晴
2021-04-02,31℃,24℃,多云
2021-04-03,33℃,24℃,多云
2021-04-04,32℃,24℃,晴
2021-04-05,32℃,24℃,晴
2021-04-06,30℃,24℃,晴
2021-04-07,31℃,24℃,晴
2021-04-08,32℃,24℃,晴
2021-04-09,31℃,23℃,晴
2021-04-10,30℃,24℃,晴
2021-04-11,31℃,23℃,多云
2021-04-12,25℃,23℃,多云
2021-04-13,32℃,24℃,小雨
2021-04-14,28℃,24℃,晴
2021-04-15,32℃,24℃,晴
2021-04-16,30℃,24℃,晴
2021-04-17,33℃,24℃,多云
2021-04-18,30℃,24℃,多云
2021-04-19,32℃,24℃,晴
2021-04-20,32℃,25℃,多云
2021-04-21,32℃,25℃,多云
2021-04-22,33℃,25℃,多云
2021-04-23,31℃,23℃,晴
2021-04-24,30℃,25℃,晴
2021-04-25,33℃,25℃,阴
2021-04-26,32℃,25℃,阴
2021-04-27,31℃,25℃,阴
2021-04-28,33℃,24℃,多云
2021-04-29,31℃,23℃,多云
2021-04-30,32℃,23℃,晴
2021-05-01,32℃,25℃,多云
2021-05-02,32℃,26℃,阴
2021-05-03,31℃,26℃,晴
2021-05-04,32℃,26℃,晴
2021-05-05,34℃,24℃,多云
2021-05-06,33℃,24℃,多云
2021-05-07,33℃,24℃,多云
2021-05-08,32℃,26℃,晴
2021-05-09,33℃,27℃,晴
2021-05-10,31℃,26℃,晴
2021-05-11,33℃,26℃,晴
2021-05-12,33℃,26℃,晴
2021-05-13,33℃,27℃,晴
2021-05-14,33℃,27℃,多云
2021-05-15,32℃,27℃,晴
2021-05-16,33℃,27℃,晴
2021-05-17,32℃,27℃,多云
2021-05-18,33℃,27℃,多云
2021-05-19,32℃,28℃,多云
2021-05-20,32℃,28℃,阴
2021-05-21,33℃,28℃,晴
2021-05-22,34℃,28℃,多云
2021-05-23,36℃,27℃,阴
2021-05-24,33℃,26℃,阴到小雨
2021-05-25,32℃,27℃,小雨到中雨
2021-05-26,33℃,27℃,多云
2021-05-27,32℃,27℃,小雨
2021-05-28,33℃,25℃,阴
2021-05-29,32℃,28℃,多云
2021-05-30,33℃,28℃,多云
2021-05-31,34℃,28℃,多云
2021-06-01,33℃,28℃,阴
2021-06-02,35℃,28℃,晴
2021-06-03,34℃,27℃,阴
2021-06-04,34℃,28℃,阴
2021-06-05,34℃,26℃,阴
2021-06-06,33℃,27℃,晴
2021-06-07,33℃,26℃,阴
2021-06-08,31℃,26℃,阴
2021-06-09,33℃,25℃,晴
2021-06-10,32℃,26℃,阴
2021-06-11,32℃,25℃,小雨
2021-06-12,29℃,26℃,阴
2021-06-13,33℃,25℃,多云
2021-06-14,33℃,27℃,阴
2021-06-15,32℃,26℃,晴
2021-06-16,33℃,25℃,晴
2021-06-17,33℃,26℃,晴
2021-06-18,33℃,26℃,晴
2021-06-19,33℃,27℃,晴
2021-06-20,34℃,27℃,多云
2021-06-21,23℃,20℃,阴
2021-06-22,34℃,28℃,阴
2021-06-23,29℃,21℃,阴
2021-06-24,33℃,26℃,阴
2021-06-25,33℃,26℃,多云
2021-06-26,35℃,27℃,多云
2021-06-27,34℃,28℃,阴
2021-06-28,34℃,26℃,阴
2021-06-29,35℃,28℃,阴
2021-06-30,35℃,28℃,多云
2021-07-01,35℃,29℃,多云
2021-07-02,36℃,28℃,阴
2021-07-03,36℃,28℃,晴
2021-07-04,35℃,27℃,晴
2021-07-05,36℃,27℃,多云
2021-07-06,30℃,25℃,多云
2021-07-07,27℃,25℃,多云
2021-07-08,32℃,28℃,阴
